REMARK NLINLS: Nonlinear Spectral Modeling, NMRPipe Version 12.1 2025.092.15.17
REMARK Files: axt.tab ft/test001.ft2 Jtype: PEAK Dim: 3 Iter: 750 Eval: 750
REMARK X PROFILE (+/-5) GAUSS1D
REMARK Y PROFILE (+/-3) GAUSS1D
REMARK Z PROFILE (+/-0) SCALE1D
REMARK Model-Based Volumes at +/-3 LW in Pts Scale: 1.000000
REMARK Constraint on X_AXIS: (1*X_AXIS + -3):(1*X_AXIS + 3)
REMARK Constraint on XW: (0*XW + 0):(0*XW + 8.74)
REMARK Constraint on Y_AXIS: (1*Y_AXIS + -3):(1*Y_AXIS + 3)
REMARK Constraint on YW: (0*YW + 0):(0*YW + 4.11)
REMARK Fixed Parameters: None
REMARK F77 Optimization Modules

REMARK Updated Variables: X_PPM Y_PPM X_HZ Y_HZ XW_HZ YW_HZ

VARS   INDEX X_AXIS Y_AXIS DX DY X_PPM Y_PPM X_HZ Y_HZ XW YW XW_HZ YW_HZ X1 X3 Y1 Y3 HEIGHT DHEIGHT VOL PCHI2 TYPE ASS CLUSTID MEMCNT Z_A0 Z_A1 Z_A2 Z_A3 Z_A4 Z_A5 Z_A6 Z_A7 Z_A8 Z_A9 Z_A10 Z_A11 Z_A12 Z_A13 Z_A14 Z_A15 Z_A16 Z_A17 Z_A18 Z_A19 Z_A20 Z_A21 Z_A22 Z_A23 Z_A24 Z_A25 Z_A26 Z_A27 Z_A28 Z_A29 Z_A30 Z_A31 Z_A32 Z_A33 Z_A34 Z_A35 Z_A36 Z_A37 Z_A38 Z_A39 Z_A40 Z_A41 Z_A42 Z_A43 Z_A44 Z_A45
FORMAT %5d %9.3f %9.3f %6.3f %6.3f %8.3f %8.3f %9.3f %9.3f %7.3f %7.3f %8.3f %8.3f %4d %4d %4d %4d %+e %+e %+e %.5f %d %s %4d %4d %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f

    3   520.344    20.541  0.120  0.073    8.481  126.604  5934.378  8977.490   4.744   1.766   26.323   23.480  519  522   20   21 +1.106230e+11 +2.696151e+09 +1.050062e+12 0.00000 1 None    2    1  1.0000  0.4003  0.3470  0.1932 -0.0075  0.0251  0.2587  0.3922  0.4221  0.4407  0.5008  0.5033  0.5475  0.5121  0.5190  0.5550  0.5222  0.5746  0.5264  0.5331  0.5468  0.5487  0.5421  0.5129  0.5489  0.5472  0.5437  0.5480  0.5604  0.5622  0.5814  0.5141  0.5591  0.5607  0.5412  0.5363  0.5785  0.5500  0.5523  0.5785  0.5730  0.5095  0.5255  0.5663  0.5215  0.5721
    4   528.711    21.779  0.082  0.017    8.415  126.372  5887.952  8961.030   3.950   1.669   21.917   22.190  527  532   21   23 +1.574847e+11 +2.461952e+09 +1.176372e+12 0.00000 1 None    3    2  1.0000  0.4818  0.4070  0.3459  0.1125 -0.0100  0.2247  0.3615  0.4854  0.4644  0.5329  0.5160  0.5285  0.5342  0.5226  0.5529  0.5417  0.5442  0.5696  0.5577  0.5316  0.5632  0.5539  0.5467  0.5679  0.5443  0.5439  0.5710  0.5832  0.5700  0.5620  0.5308  0.5690  0.5487  0.5804  0.5660  0.5455  0.5686  0.5441  0.5649  0.5485  0.5682  0.5297  0.5092  0.5223  0.5358
    5   534.020    21.548  0.060  0.029    8.373  126.415  5858.495  8964.102   3.451   1.333   19.148   17.723  531  536   21   22 +2.002258e+11 +2.572657e+09 +1.043949e+12 0.00000 1 None    3    2  1.0000  0.5095  0.4329  0.3288  0.0991 -0.0185  0.2738  0.4251  0.4643  0.5143  0.5435  0.4908  0.5447  0.5423  0.5529  0.5347  0.5149  0.5518  0.5205  0.5335  0.5284  0.5423  0.5506  0.5710  0.5457  0.5566  0.5463  0.5716  0.5505  0.5381  0.5497  0.5819  0.5738  0.5706  0.5710  0.5586  0.5615  0.5532  0.5373  0.5616  0.5397  0.5587  0.5670  0.5265  0.5441  0.5498
    6   516.564    24.236  0.209  0.032    8.511  125.911  5955.352  8928.363   4.408   1.753   24.458   23.307  515  518   24   25 +8.981602e+10 +2.453921e+09 +7.863329e+11 0.00000 1 None    4    1  1.0000  0.5341  0.5098  0.4272  0.2073  0.0295  0.0307  0.1636  0.3721  0.3908  0.4839  0.5498  0.5642  0.5581  0.5892  0.6195  0.5842  0.5997  0.5947  0.6121  0.5760  0.5755  0.6252  0.5765  0.5763  0.5923  0.5989  0.5778  0.6703  0.5577  0.6096  0.6500  0.5915  0.5786  0.5982  0.5871  0.5662  0.6103  0.5935  0.5900  0.5582  0.5714  0.5783  0.6089  0.6236  0.6601
    7   526.537    26.863  0.073  0.014    8.432  125.419  5900.015  8893.436   8.740   2.092   48.495   27.814  522  528   26   28 +1.556724e+11 +2.485059e+09 +3.224573e+12 0.00000 1 None    5    3  1.0000  0.5178  0.5010  0.4854  0.4413  0.3149  0.0926  0.0703  0.2441  0.3944  0.4723  0.4665  0.5085  0.5234  0.5229  0.5436  0.5382  0.5481  0.5403  0.5460  0.5562  0.5696  0.5671  0.5391  0.5756  0.5459  0.5448  0.5613  0.5579  0.5445  0.5519  0.5635  0.5533  0.5523  0.5585  0.5673  0.5536  0.5706  0.5510  0.5481  0.5427  0.5563  0.5433  0.5327  0.5448  0.5590
    8   499.178    27.786  0.032  0.010    8.649  125.246  6051.821  8881.164   2.957   1.497   16.407   19.903  497  501   27   29 +2.760973e+11 +2.500312e+09 +1.384605e+12 0.00000 1 None    6    1  1.0000  0.6198  0.6239  0.6035  0.5870  0.5321  0.3600  0.2104  0.3279  0.5040  0.5774  0.6050  0.6154  0.6261  0.6434  0.6365  0.6290  0.6123  0.6177  0.6374  0.6211  0.6161  0.6297  0.6392  0.6357  0.6256  0.6277  0.6307  0.6254  0.6267  0.6122  0.6161  0.6134  0.6338  0.6347  0.6315  0.6296  0.6222  0.6157  0.6192  0.6191  0.6310  0.6041  0.6375  0.6416  0.6383
    9   532.666    28.628  0.054  0.012    8.383  125.088  5866.007  8869.969   4.859   1.618   26.961   21.512  530  536   28   30 +2.927615e+11 +2.551427e+09 +2.607730e+12 0.00000 1 None    5    3  1.0000  0.5110  0.5261  0.4999  0.4751  0.4254  0.3012  0.0546  0.1070  0.3100  0.4489  0.4789  0.5124  0.5074  0.5271  0.5207  0.5452  0.5330  0.5356  0.5439  0.5272  0.5443  0.5417  0.5297  0.5339  0.5484  0.5469  0.5514  0.5501  0.5538  0.5517  0.5342  0.5242  0.5446  0.5337  0.5454  0.5392  0.5215  0.5456  0.5474  0.5309  0.5395  0.5331  0.5305  0.5523  0.5455
   10   540.935    29.432  0.041  0.023    8.318  124.937  5820.125  8859.279   4.069   2.012   22.577   26.751  538  543   28   31 +2.349706e+11 +2.517388e+09 +2.179437e+12 0.00000 1 None    5    3  1.0000  0.5592  0.5480  0.5255  0.5074  0.4545  0.3320  0.0780  0.0217  0.2594  0.4094  0.4953  0.4982  0.5467  0.5531  0.5532  0.5594  0.5681  0.5730  0.5580  0.5643  0.5437  0.5532  0.5696  0.5704  0.5793  0.5757  0.5597  0.5672  0.5541  0.5754  0.5735  0.5816  0.5658  0.5647  0.5851  0.5674  0.5823  0.5723  0.5777  0.5793  0.5713  0.5667  0.5505  0.5757  0.5772
   11   513.351    33.038  0.040  0.008    8.537  124.261  5973.180  8811.336   2.912   1.635   16.158   21.738  511  515   32   34 +3.015341e+11 +2.489284e+09 +1.627378e+12 0.00000 1 None    7    1  1.0000  0.5772  0.5705  0.5810  0.5651  0.5595  0.5527  0.4881  0.3197  0.1942  0.3286  0.4921  0.5500  0.5487  0.5716  0.5737  0.5766  0.6021  0.5807  0.6136  0.5592  0.5849  0.6166  0.5882  0.6188  0.5852  0.6101  0.5941  0.6277  0.6263  0.5880  0.5906  0.6061  0.5964  0.6077  0.6024  0.5796  0.6097  0.5908  0.5840  0.5857  0.6100  0.5912  0.5897  0.5957  0.5913
   12   540.119    34.621  0.060  0.036    8.324  123.964  5824.653  8790.289   3.814   2.003   21.163   26.631  538  542   34   36 +1.958499e+11 +2.539983e+09 +1.695602e+12 0.00000 1 None    8   10  1.0000  0.5394  0.5504  0.5315  0.5158  0.4963  0.4847  0.4425  0.3033  0.0921  0.0477  0.3087  0.4125  0.4498  0.4922  0.5366  0.5204  0.5352  0.5636  0.4894  0.5175  0.5395  0.5346  0.5394  0.5156  0.5371  0.5383  0.5346  0.5098  0.5356  0.5249  0.5417  0.5353  0.5359  0.5257  0.5413  0.5406  0.5328  0.5551  0.5539  0.5655  0.5350  0.5422  0.5451  0.5361  0.5476
